"","temp","MUAP (normalised)","MUAP (rescaled)","Beta ratios"
"(Intercept)","0.05 (0.04; 0.06)","0.03 (0.03; 0.04)","0.05 (0.04-0.06)","1.01"
"MO2","0.07 (0.06; 0.08)","0.04 (0.04; 0.05)","0.07 (0.06-0.08)","0.99"
"MO3","0.24 (0.23; 0.25)","0.15 (0.14; 0.16)","0.24 (0.23-0.25)","1.01"
"SC2","0.12 (0.11; 0.13)","0.07 (0.06; 0.08)","0.11 (0.10-0.12)","0.96"
"SC3","0.11 (0.09; 0.12)","0.07 (0.06; 0.08)","0.11 (0.10-0.12)","1.05"
"UA2","0.04 (0.02; 0.05)","0.02 (0.02; 0.03)","0.04 (0.03-0.05)","1.04"
"UA3","0.06 (0.04; 0.07)","0.03 (0.03; 0.04)","0.06 (0.04-0.07)","1.01"
"PD2","0.13 (0.12; 0.14)","0.08 (0.07; 0.08)","0.12 (0.11-0.13)","0.96"
"PD3","0.26 (0.24; 0.27)","0.16 (0.15; 0.17)","0.26 (0.25-0.27)","1.00"
"AD2","0.08 (0.07; 0.10)","0.05 (0.04; 0.06)","0.08 (0.07-0.09)","0.97"
"AD3","0.16 (0.15; 0.18)","0.11 (0.10; 0.11)","0.17 (0.16-0.18)","1.06"
"N3","0.28 (0.27; 0.30)","0.16 (0.15; 0.17)","0.26 (0.25-0.28)","0.92"
"R2","0.51","0.59","",""
"Observations","38805","38805","",""
